No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years,Fundamental Score
1056,CUTR,Healthcare,Medical Devices,USA,52240000.0,-999.0,-999.0,-999.0,0.23,-999.0,9.0,-999.0,0.1467,0.0211,1.0789,-0.0073,3.17,-44.4726,2.81,-999.0,-0.3329,-0.0774,-0.9274,0.8986,-0.9648,0.8986,2.62,346300.0,True,True,5
2634,MOND,Consumer Cyclical,Travel Services,USA,195780000.0,-999.0,-999.0,-999.0,0.97,-999.0,0.56,-999.0,0.3557,0.0013,0.2209,-0.4973,17.84,-0.9989,1.1,4.18,-0.3468,-0.1174,-0.84,0.1875,-0.8657,0.1875,2.28,522720.0,True,False,4
2426,LPSN,Technology,Software - Application,USA,215030000.0,-999.0,35.86,-999.0,0.5,4.63,2.65,-0.5677,0.2004,0.1267,0.6547,-0.0137,3.2,-1.5103,1.15,13.06,-0.2369,-0.1721,-0.8355,0.1416,-0.9632,37.0,2.66,6292761.0,True,False,3
1449,EXFY,Technology,Software - Application,USA,146470000.0,-999.0,32.13,-999.0,0.92,1.54,1.34,-999.0,0.301,0.0361,0.3911,-0.0156,2.43,-0.3945,2.43,0.69,-0.2369,-0.1751,-0.8304,0.1513,-0.9657,0.1513,1.75,643005.0,True,False,4
4149,VERI,Technology,Software - Infrastructure,USA,69800000.0,-999.0,-999.0,-999.0,0.51,3.73,1.94,0.3518,0.5736,0.0099,0.3612,0.0124,13.63,-1.4701,0.87,7.58,-0.4792,-0.0047,-0.8127,0.2703,-0.9749,0.541,1.88,101992.0,True,False,3
656,BW,Industrials,Specialty Industrial Machinery,USA,116180000.0,-999.0,52.0,-999.0,0.11,-999.0,0.61,0.6496,-0.0059,0.0959,0.7718,0.0589,1.01,-6.5727,1.09,-999.0,-0.1365,-0.0776,-0.8097,0.3611,-0.9946,0.6883,1.3,235454.0,True,True,5
3965,TPIC,Industrials,Specialty Industrial Machinery,USA,119620000.0,-999.0,-999.0,-999.0,0.08,-999.0,3.99,-999.0,0.1184,0.0181,0.9128,0.1126,3.43,-0.5478,1.44,1.59,-0.1594,-0.0707,-0.8073,0.7239,-0.9655,0.7239,2.81,103841.0,True,False,4
883,CMBM,Technology,Communication Equipment,USA,123410000.0,-999.0,-999.0,-999.0,0.47,0.95,0.99,0.1589,0.0594,0.0023,0.3256,0.0021,1.34,-0.1119,1.36,0.23,-0.055,-0.0824,-0.805,0.2635,-0.9328,0.2635,4.46,200567.0,True,True,6
3171,PIII,Healthcare,Medical Care Facilities,USA,126760000.0,-999.0,-999.0,-999.0,0.11,0.67,0.5,-999.0,0.4723,0.019,0.1964,0.0014,7.83,-0.9498,0.67,0.65,-0.1073,-0.0935,-0.8022,0.5708,-0.9342,0.5708,1.1,4211163.0,True,False,4
4007,TSE,Basic Materials,Specialty Chemicals,USA,205220000.0,-999.0,-999.0,-999.0,0.05,-999.0,7.91,-999.0,0.0828,0.1289,0.8572,-0.059,1.96,-2.3662,1.24,-999.0,-0.2102,-0.1318,-0.801,0.119,-0.9317,0.119,5.83,763480.0,True,True,5
