No.,Ticker,Index,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Cash/sh,Dividend,Payout Ratio,EPS next Q,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Year,Beta,SMA50,52W High,52W Low,All-Time High,All-Time Low,Earnings,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years,Fundamental Score
885,CMBM,RUT,Technology,Communication Equipment,USA,116770000.0,-999.0,9.46,-999.0,0.53,1.24,6.24,-999.0,0.68,-999.0,0.0,-0.23,0.7742,2.796,-1.0953,0.2,0.0023,-0.5242,-4.9797,0.5649,0.0016,0.3633,0.0021,0.0303,-0.5294,-0.5156,1.73,1.02,0.3,0.33,0.2952,-0.2887,-0.0071,-0.0186,-0.1097,-0.7911,0.94,-0.1058,-0.7949,0.1955,-0.9364,0.1955,Feb 15/a,4.22,101387.0,True,True,4
2938,NYCB,-999,Financial,Banks - Regional,USA,2330000000.0,0.96,3.76,-999.0,0.28,0.23,-999.0,-999.0,-999.0,0.0621,0.2078,0.11,-0.8075,0.3751,0.3289,-0.003,0.5667,0.8,-2.1996,0.0193,0.0145,0.6983,0.002,0.0715,0.239,0.0721,0.57,-999.0,1.97,1.97,-999.0,0.2815,-0.3134,-0.4669,-0.6754,-0.6269,0.98,-0.5813,-0.7736,0.1926,-0.9095,1.8979,Jan 31/b,3.22,765407.0,True,True,5
927,CNTY,RUT,Consumer Cyclical,Resorts & Casinos,USA,79540000.0,-999.0,-999.0,-999.0,0.16,0.62,0.42,-999.0,6.23,-999.0,0.0,-0.36,-4.7366,0.2879,0.0109,0.25,0.2678,0.432,-5.9808,0.1415,0.0097,0.633,-0.0111,0.0391,-0.1565,-0.0188,2.44,2.39,7.82,7.89,0.3764,-0.042,-0.0839,-0.1838,-0.3963,-0.7108,2.62,-0.2985,-0.7204,0.0315,-0.8406,5.9867,Nov 09/b,2.62,236815.0,True,True,5
215,AMRC,RUT,Industrials,Engineering & Construction,USA,964690000.0,15.74,9.19,0.58,0.7,1.07,6.81,-999.0,2.71,-999.0,0.0,-0.1,0.1005,0.4487,0.0763,0.272,0.1448,0.3305,0.8888,0.3911,0.0041,0.6164,-0.0038,0.1266,0.0723,0.0295,1.19,1.17,1.34,1.72,0.1745,0.0454,-0.0919,-0.1246,-0.4177,-0.596,1.55,-0.2413,-0.7077,0.0221,-0.8187,3.7238,Feb 28/a,18.47,2126038.0,True,True,4
2627,MODV,RUT,Healthcare,Medical Care Facilities,USA,442760000.0,-999.0,5.44,-999.0,0.16,2.84,159.26,-999.0,0.2,-999.0,-999.0,0.19,-0.228,0.3268,-0.4924,0.0699,0.1617,0.0748,0.2474,0.0197,3.1546,1.0227,-0.0513,0.0625,-0.8006,-0.1742,0.77,0.77,6.51,7.3,0.1246,-0.0743,0.1108,-0.2032,-0.2228,-0.6851,0.45,-0.2314,-0.6854,0.2992,-0.8529,44.7587,Feb 22/a,31.18,17296137.0,True,True,2
3423,RILY,RUT,Financial,Financial Conglomerates,USA,643710000.0,-999.0,-999.0,-999.0,0.44,1.56,0.48,-999.0,44.19,0.19,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.4299,0.0461,-0.1119,0.4595,0.0029,0.504,-0.0418,0.6852,-0.2063,-0.0153,-999.0,-999.0,16.99,17.02,0.5688,-0.0588,0.2296,0.0375,0.0447,-0.4781,1.52,0.0433,-0.6533,0.4557,-0.8639,133.7476,Feb 29/a,21.05,819908.0,True,True,2
3391,RELL,RUT,Technology,Electronic Components,USA,118190000.0,14.95,11.83,0.75,0.52,0.75,5.19,-999.0,1.62,0.0286,0.1816,0.02,-0.8705,2.9444,0.3454,0.2,0.1061,-0.3304,-1.4865,0.1566,0.0046,0.5846,0.231,0.0476,0.0535,0.0514,4.63,1.38,0.01,0.01,0.3037,0.0363,-0.0698,-0.1259,-0.3778,-0.6106,1.01,-0.2026,-0.6404,-0.0141,-0.6916,2.4008,Jan 10/a,8.4,109063.0,True,True,6
3747,SPWH,RUT,Consumer Cyclical,Specialty Retail,USA,126070000.0,-999.0,-999.0,-999.0,0.1,0.46,43.18,-999.0,0.08,-999.0,0.0,-0.31,-1.7302,0.8269,0.1883,0.2072,0.1621,-0.0532,-1.1069,0.0417,0.0959,0.8865,-0.0736,0.0714,-0.0332,-0.0161,1.19,0.09,1.1,2.01,0.2604,-0.0071,-0.1061,-0.0892,-0.3392,-0.6247,0.78,-0.1621,-0.6365,0.1309,-0.8174,0.1309,Dec 06/a,3.37,571111.0,True,True,4
755,CCRD,RUT,Technology,Software - Application,USA,98190000.0,29.6,19.72,-999.0,1.75,1.86,3.05,8.49,3.87,-999.0,0.0,0.02,-0.7692,4.0,-0.1051,-999.0,0.2692,-0.2318,-0.5043,0.2612,0.0051,0.439,-0.0173,0.085,0.0644,0.0631,4.66,4.66,0.02,0.02,0.347,0.0606,-0.0559,-0.0215,-0.1011,-0.6398,0.38,-0.0502,-0.6337,0.1655,-0.7897,22.9454,Feb 14/b,11.83,118118.0,True,True,4
33,ACDC,RUT,Energy,Oil & Gas Equipment & Services,USA,1320000000.0,8.93,7.98,-999.0,0.45,1.06,51.34,4.16,0.16,-999.0,0.0,0.04,-0.8852,3.4074,-999.0,-0.122,1.1048,-0.1759,-1.6578,0.8855,0.0088,0.1068,0.0178,0.2829,0.1611,0.0116,0.96,0.58,0.77,0.88,0.2254,0.0092,0.0297,0.1838,-0.0107,-0.6102,0.69,0.0841,-0.6185,0.2864,-0.6922,0.2864,Mar 13/b,8.31,17074422.0,True,True,3
