No.,Ticker,Index,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Cash/sh,Dividend,Payout Ratio,EPS next Q,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Year,Beta,SMA50,52W High,52W Low,All-Time High,All-Time Low,Earnings,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years,NCAV,Fundamental Score
1650,EMKR,-999,Technology,Semiconductors,USA,8770000.0,-999.0,-999.0,-999.0,0.09,0.13,0.73,-999.0,1.45,-999.0,-999.0,-0.17,0.9172,0.8616,-0.2084,0.15,0.2324,-0.2679,0.6478,0.1589,2.7367,0.4452,-0.3369,0.0185,-0.562,-0.8219,3.27,1.85,0.4,0.46,0.2029,-0.7957,0.0095,-0.6281,-0.7579,-0.8789,1.41,-0.6447,-0.8884,0.0927,-0.9996,0.0927,May 08/a,1.06,338817.0,True,True,2.452,5
4415,SEDG,-999,Technology,Solar,Israel,2770000000.0,-999.0,16.76,-999.0,1.24,1.23,4.08,-999.0,11.88,-999.0,0.0,-1.45,-1.9235,1.7591,-0.259,0.0283,0.2862,-0.7835,-2.173,0.0092,0.0135,0.9335,0.0172,0.1425,-0.1138,-0.0886,4.54,2.19,0.32,0.33,0.1979,-0.1168,-0.0214,-0.1565,-0.4309,-0.8403,1.61,-0.2263,-0.8423,-0.0084,-0.8758,3.2652,May 08/a,48.41,474250.0,True,True,18.713,4
3515,NOTV,-999,Healthcare,Diagnostics & Research,USA,50120000.0,-999.0,-999.0,-999.0,0.09,0.24,1.53,5.24,1.26,-999.0,-999.0,-0.59,0.3154,0.3884,-1.8424,-999.0,1.3362,-0.2141,-3.7836,0.1083,0.022,0.254,-0.0915,0.0489,-0.2964,-0.2914,0.37,0.23,0.18,2.07,0.2047,-0.129,-0.4867,-0.5894,-0.6773,-0.6961,3.3,-0.7052,-0.8309,0.1988,-0.9682,2.2167,May 15/a,1.93,163981.0,True,True,-15.147,3
3638,NYCB,-999,Financial,Banks - Regional,USA,3030000000.0,-999.0,13.4,-999.0,0.45,0.38,-999.0,-999.0,-999.0,0.0195,-999.0,-0.14,-1.1897,1.4481,-999.0,-0.003,0.5678,-0.4841,-1.1576,0.0955,0.003,0.4997,0.0018,0.1122,-0.2427,-0.0712,0.67,-999.0,2.8,3.02,-999.0,-0.3639,0.0696,0.2508,-0.2469,-0.6705,1.01,0.1105,-0.7405,1.1706,-0.8963,2.3209,May 01/b,3.69,973505.0,True,True,,3
1285,CTHR,-999,Consumer Cyclical,Luxury Goods,USA,78880000.0,-999.0,-999.0,-999.0,3.33,2.55,8.54,-999.0,0.3,-999.0,-999.0,-999.0,-999.0,-999.0,-0.4015,0.3,0.0535,-0.2077,0.5674,0.2605,0.0994,0.1161,-0.0718,0.0001,-0.4578,-0.5655,2.47,1.26,0.05,0.09,0.0418,-0.7723,-0.0896,-0.2378,-0.2758,-0.7347,1.39,-0.2192,-0.7347,-0.0038,-0.9899,0.4444,May 02/a,2.6,274182.0,True,True,3.708,4
1392,DCGO,RUT,Healthcare,Medical Care Facilities,USA,312840000.0,15.23,19.08,0.49,0.44,1.02,7.59,-999.0,0.41,-999.0,0.0,0.06,3.1667,-0.3542,-999.0,0.3107,1.0622,0.6998,4.0621,0.1595,0.0047,0.4773,0.2038,0.1016,0.0731,0.0659,2.09,2.09,0.05,0.17,0.3041,0.0306,0.0199,-0.0994,-0.1653,-0.6484,0.93,-0.1449,-0.7153,0.1079,-0.7403,0.1079,May 08/a,3.08,248951.0,True,True,1.571,4
2429,HTZ,-999,Industrials,Rental & Leasing Services,USA,785920000.0,8.95,31.7,-999.0,0.08,0.6,0.83,-999.0,6.65,-999.0,0.0,-0.39,-4.5687,1.0922,-999.0,-999.0,0.0449,0.0161,-2.0049,0.0289,0.0648,-999.0,-0.0646,0.2371,0.0838,0.0113,1.33,1.33,6.35,6.35,0.139,0.0249,0.1309,-0.0768,-0.2846,-0.6618,2.23,-0.1485,-0.7144,0.2713,-0.8798,0.2713,Apr 25/b,5.53,1114100.0,True,True,-63.241,4
5208,VOXX,RUT,Technology,Consumer Electronics,USA,90400000.0,-999.0,-999.0,-999.0,0.19,0.3,8.23,-999.0,0.49,-999.0,-999.0,-999.0,-999.0,-999.0,0.0162,0.1,0.0314,-0.2083,-0.1305,0.5788,0.0,0.5028,-0.0792,0.0285,-0.1267,-0.1094,2.43,1.11,0.25,0.25,0.191,-0.0871,-0.3266,-0.4505,-0.5511,-0.5154,1.24,-0.4444,-0.6977,0.0101,-0.9448,3.0,May 14/a,4.0,15687500.0,True,True,2.172,5
1520,DTC,RUT,Consumer Cyclical,Internet Retail,USA,117380000.0,-999.0,3.54,-999.0,0.24,0.49,7.62,6.01,0.27,-999.0,-999.0,0.13,-0.129,0.1307,-0.5672,0.116,1.153,-0.0327,-5.0414,0.5241,0.0033,0.4121,-0.0101,0.1511,-0.3819,-0.2694,2.8,1.16,0.8,0.87,0.5522,-0.2352,-0.0049,0.1348,-0.2574,-0.6145,2.59,-0.0048,-0.6972,0.1609,-0.9136,0.1609,May 09/b,2.02,226560.0,True,True,-1.618,5
1182,COOK,RUT,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,283510000.0,-999.0,21.56,-999.0,0.47,0.96,12.0,5.51,0.18,-999.0,-999.0,0.04,1.0173,48.0529,-0.2831,0.1286,0.1751,-0.0538,0.5802,0.556,0.0056,0.3553,0.0232,0.0328,-0.2513,-0.1084,1.74,0.99,1.45,1.6,0.3266,-0.1308,-0.0558,0.0526,0.0577,-0.3353,1.1,-0.0364,-0.6716,0.1161,-0.9325,0.1161,May 08/a,2.2,933006.0,True,True,-2.614,3
3904,PGY,-999,Technology,Software - Infrastructure,USA,843710000.0,-999.0,15.82,-999.0,1.01,1.34,2.88,24.88,4.13,-999.0,-999.0,0.07,1.0625,4.5704,-999.0,-999.0,1.5083,0.3523,-2.8079,0.5278,0.0051,0.2333,0.7935,0.0512,-0.1536,-0.0746,2.36,2.36,0.9,1.1,0.3664,-0.1063,-0.0615,0.2155,-0.2372,0.1491,6.5,0.0725,-0.6496,0.3902,-0.9713,0.7395,May 09/b,11.9,1974857.0,True,True,-6.149,3
