No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,"

Short Ratio",ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price
1,CMPO,Industrials,Metal Fabrication,USA,100010000.0,6.62,4.88,-,0.26,-,1.25,-,0.2204,0.0015,0.9966,0.002,39.62,-,1.44,-,0.0462,-0.002,-0.3354,0.1315,-0.5116,0.2324,5.25
2,DM,Technology,Computer Hardware,USA,227480000.0,-,-,-,1.15,0.56,0.34,-5.5217,1.5769,0.0,0.3911,0.0529,18.59,-0.7607,1.91,0.35,-2.3298,-0.0467,-0.7253,0.2287,-0.98,0.2287,0.7
3,TRUP,Financial,Insurance - Specialty,USA,1180000000.0,-,-,-,1.11,4.07,-,-0.8483,0.3145,-0.002,0.9467,0.05,15.89,-0.1741,-,0.45,-0.0489,0.0042,-0.5907,0.5339,-0.8212,4.4315,28.3
4,PROK,Healthcare,Biotechnology,USA,91980000.0,-,-,-,-,-,5.9,-,0.0,-0.3428,0.5199,0.0212,14.26,-,19.37,-,-,-0.1791,-0.9035,0.2232,-0.9035,0.2232,1.37
5,ATMU,Industrials,Pollution & Treatment Controls,USA,1890000000.0,-,-,-,-,54.87,1.67,-,0.1265,0.0001,0.2703,-,13.07,-,1.16,18.23,-,0.0101,-0.1075,0.2444,-0.1075,0.2444,22.66
6,ABR,Real Estate,REIT - Mortgage,USA,2660000000.0,7.97,7.52,1.0,1.66,1.08,6.97,0.0835,0.2333,0.0037,0.5626,0.0003,10.85,0.1242,-,3.95,0.2042,0.003,-0.2052,0.396,-0.5847,24.5477,14.1
7,SAVA,Healthcare,Biotechnology,USA,1110000000.0,-,-,-,-,7.14,3.37,-0.0083,0.0,0.019,0.3083,0.0526,10.5,-0.5394,8.62,0.0,-,0.107,-0.3174,1.1347,-0.8201,33.6053,26.3
8,SVV,Consumer Cyclical,Specialty Retail,USA,2840000000.0,72.56,-,-,1.91,9.06,0.78,-,0.1097,0.0001,0.1811,-,10.36,0.1217,0.77,4.05,0.024,0.1388,-0.3419,0.7411,-0.3419,0.7411,17.69
9,BYND,Consumer Defensive,Packaged Foods,USA,466950000.0,-,-,-,1.34,-,3.41,-0.6269,0.6993,0.0,0.5021,-0.3859,8.07,-,3.51,-,-0.7147,-0.1059,-0.6836,0.2966,-0.9698,0.2966,7.24
10,LMND,Financial,Insurance - Property & Casualty,USA,1200000000.0,-,-,-,3.61,1.66,-,-0.5599,0.8822,0.0,0.3657,0.0684,7.94,-0.3161,-,0.05,-0.774,0.0149,-0.3063,0.6766,-0.9086,0.6766,17.21
